item,지점명,지점코드,dtYmdHm
0.0,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
0.7,강진군 군동면,059223A001,201801012200
0.7,강진군 군동면,059223A001,201801012200
0.7,강진군 군동면,059223A001,201801012200
2018-01-01 22:00,강진군 군동면,059223A001,201801012200
13.0,강진군 군동면,059223A001,201801012200
-3.9,강진군 군동면,059223A001,201801012200
71.6,강진군 군동면,059223A001,201801012200
71.6,강진군 군동면,059223A001,201801012200
71.6,강진군 군동면,059223A001,201801012200
1,강진군 군동면,059223A001,201801012200
059223A001,강진군 군동면,059223A001,201801012200
강진군 군동면,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
34.9,강진군 군동면,059223A001,201801012200
-,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
-,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
-,강진군 군동면,059223A001,201801012200
13.2,강진군 군동면,059223A001,201801012200
525.0,강진군 군동면,059223A001,201801012200
-1.9,강진군 군동면,059223A001,201801012200
-3.8,강진군 군동면,059223A001,201801012200
7.6,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
2.9,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
31.3,강진군 군동면,059223A001,201801012200
X,강진군 군동면,059223A001,201801012200
31.3,강진군 군동면,059223A001,201801012200
