[2023-08-16 12:07:14,409 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 13:43:25,074 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 13:53:59,192 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 13:54:27,231 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 13:59:49,541 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 14:01:51,876 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 14:09:09,245 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 14:10:07,187 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 14:10:27,088 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 14:10:58,925 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
[2023-08-16 14:11:26,136 | GRID_DECODE_GENERATOR | TP-dev2.indisystem.co.kr | PRO | INFO |initiator.py:13] > start
