This verification file is for ASCAT Metop-A Version 02.1, C-2015 GMF data (produced April 2016)

Verify that your read routine is working correctly 
by writing out the windspd, winddir, scatflag, radrain, and sosmap 
values for this longitude, latitude subset: 
	lon 170:175  (6 cells)
	lat 274:278  (5 cells)

!!!these values assume a 1-based system such as fortran.
If you have zero-based software, use lon 169:174 and lat 273:277.

The results for each latitude and longitude are:

**3-day**    file: ascat_20071022_v02.1_3day.gz
   ilon  ilat  windspd  winddir scatflag radrain     sosmap
   170   274     8.60   354.00    0        0.00        0.18
   171   274     8.40   357.00    0        0.00        0.20
   172   274     8.20     3.00    0        0.00        0.22
   173   274     8.20     4.50    0        0.00        0.22
   174   274     7.80     7.50    0        0.00        0.22
   175   274  -555.00  -555.00 -555     -555.00     -555.00
   170   275     8.20   358.50    0        0.00        0.18
   171   275     8.20     1.50    0        0.00        0.18
   172   275     7.80     6.00    0        0.00        0.28
   173   275     7.40    12.00    0        0.00        0.26
   174   275     7.40    13.50    0        0.00        0.26
   175   275  -555.00  -555.00 -555     -555.00     -555.00
   170   276     7.80     1.50    0        0.00        0.16
   171   276     7.60     4.50    0        0.00        0.20
   172   276     7.40    10.50    0        0.00        0.30
   173   276     7.20    16.50    0        0.00        0.28
   174   276     7.40    22.50    0        0.00        0.28
   175   276     7.40    22.50    0        0.00        0.28
   170   277     7.40     0.00    0        0.00        0.12
   171   277     7.20     4.50    0        0.00        0.18
   172   277     7.20    12.00    0        0.00        0.26
   173   277     7.20    16.50    0        0.00        0.24
   174   277     7.40    22.50    0        0.00        0.28
   175   277     7.40    22.50    0        0.00        0.26
   170   278     7.20     3.00    0        0.00        0.16
   171   278     7.00     4.50    0        0.00        0.22
   172   278     7.00     9.00    0        0.00        0.28
   173   278     7.20    15.00    0        0.00        0.22
   174   278     7.40    22.50    0        0.00        0.30
   175   278     7.20    27.00    0        0.00        0.28

**weekly**	file: ascat_20071027v02.1.gz
   ilon  ilat  windspd  winddir scatflag radrain     sosmap
   170   274     7.40   348.00    0        0.00        0.22
   171   274     7.20   348.00    0        0.00        0.22
   172   274     7.60   351.00    0        0.00        0.20
   173   274     7.80   349.50    0        0.00        0.20
   174   274     7.40   352.50    0        0.00        0.20
   175   274  -555.00  -555.00 -555     -555.00     -555.00
   170   275     7.20   346.50    0        0.00        0.20
   171   275     7.80   343.50    0        0.00        0.18
   172   275     7.40   349.50    0        0.00        0.22
   173   275     7.20   354.00    0        0.00        0.24
   174   275     7.00   354.00    0        0.00        0.24
   175   275  -555.00  -555.00 -555     -555.00     -555.00
   170   276     7.20   348.00    0        0.00        0.18
   171   276     7.60   346.50    0        0.00        0.20
   172   276     7.20   349.50    0        0.00        0.22
   173   276     7.00   355.50    0        0.00        0.20
   174   276     6.80   358.50    0        0.00        0.22
   175   276     6.80   358.50    0        0.00        0.22
   170   277     7.00   349.50    0        0.00        0.16
   171   277     7.40   346.50    0        0.00        0.16
   172   277     7.40   349.50    0        0.00        0.18
   173   277     7.20   354.00    0        0.00        0.18
   174   277     7.00   358.50    0        0.00        0.22
   175   277     6.60     1.50    0        0.00        0.22
   170   278     7.40   349.50    0        0.00        0.28
   171   278     7.40   346.50    0        0.00        0.18
   172   278     7.40   346.50    0        0.00        0.16
   173   278     7.20   351.00    0        0.00        0.18
   174   278     7.00   357.00    0        0.00        0.24
   175   278     6.80     1.50    0        0.00        0.26

   
**monthly**	file: ascat_200710v02.1.gz
   ilon  ilat  windspd  winddir scatflag radrain     sosmap
   170   274     5.60     1.50    0        0.00        0.26
   171   274     5.60     0.00    0        0.00        0.24
   172   274     5.80     1.50    0        0.00        0.26
   173   274     5.80   360.00    0        0.00        0.26
   174   274     5.80     0.00    0        0.00        0.26
   175   274  -555.00  -555.00 -555     -555.00     -555.00
   170   275     5.60     1.50    0        0.00        0.26
   171   275     5.60     1.50    0        0.00        0.24
   172   275     5.60     3.00    0        0.00        0.24
   173   275     5.80     6.00    0        0.00        0.26
   174   275     5.80     6.00    0        0.00        0.26
   175   275  -555.00  -555.00 -555     -555.00     -555.00
   170   276     5.60     4.50    0        0.00        0.26
   171   276     5.60     4.50    0        0.00        0.26
   172   276     5.60     3.00    0        0.00        0.26
   173   276     5.80     7.50    0        0.00        0.28
   174   276     5.80    10.50    0        0.00        0.30
   175   276     5.80     9.00    0        0.00        0.30
   170   277     5.40     4.50    0        0.00        0.22
   171   277     5.40     4.50    0        0.00        0.24
   172   277     5.60     6.00    0        0.00        0.28
   173   277     5.80     7.50    0        0.00        0.28
   174   277     5.80    13.50    0        0.00        0.32
   175   277     5.60    13.50    0        0.00        0.32
   170   278     5.60     6.00    0        0.00        0.28
   171   278     5.60     6.00    0        0.00        0.24
   172   278     5.80    12.00    0        0.00        0.26
   173   278     5.80    13.50    0        0.00        0.26
   174   278     5.80    18.00    0        0.00        0.30
   175   278     5.60    22.50    0        0.00        0.30
   


This verification region is located west of Madagascar, in 
the region of the red red rectangle of the ascat_v2_daily_verify.png image.

All read routines default missing or bad values to -999.0 
land is given as -555.0

If you have any problems with any of the data 
reading routines contact RSS support:
http://www.remss.com/support


